hi
         108580237 function calls (108559707 primitive calls) in 415.720 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    29604    0.005    0.000    0.005    0.000 {built-in method builtins.min}
     2856    0.005    0.000    0.395    0.000 ansitowin32.py:160(write)
     1552    0.005    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:301(cache_from_source)
3850/2829    0.005    0.000    1.270    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
     1905    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
      520    0.005    0.000    0.007    0.000 sre_compile.py:276(_optimize_charset)
     2856    0.005    0.000    0.400    0.000 ansitowin32.py:40(write)
     1938    0.005    0.000    0.005    0.000 {built-in method _abc._abc_init}
     2857    0.005    0.000    0.005    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
     8845    0.005    0.000    0.005    0.000 {built-in method builtins.max}
    11830    0.005    0.000    0.010    0.000 utils.py:398(stream_list)
      819    0.004    0.000    0.017    0.000 templates.py:868(make_overload_template)
     1496    0.004    0.000    0.009    0.000 functools.py:35(update_wrapper)
     5711    0.004    0.000    0.004    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
    15041    0.004    0.000    0.010    0.000 sre_parse.py:254(get)
     8277    0.004    0.000    0.004    0.000 {method 'split' of 'str' objects}
     1627    0.004    0.000    0.009    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
    34782    0.004    0.000    0.004    0.000 {method 'lstrip' of 'str' objects}
    37934    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
  1690/20    0.004    0.000    0.047    0.002 context.py:445(install_registry)
       86    0.004    0.000    2.580    0.030 __init__.py:1(<module>)
       40    0.004    0.000    0.020    0.001 castgraph.py:92(propagate)
      954    0.004    0.000    0.010    0.000 version.py:217(__init__)
    18755    0.004    0.000    0.008    0.000 {method 'get' of 'dict' objects}
     6757    0.004    0.000    0.004    0.000 {method 'update' of 'dict' objects}
  915/914    0.004    0.000    0.234    0.000 <frozen importlib._bootstrap_external>:1309(_get_spec)
      896    0.004    0.000    0.021    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
    15350    0.004    0.000    0.016    0.000 templates.py:1291(new_registrations)
       84    0.004    0.000    0.010    0.000 __init__.py:345(namedtuple)
   903/44    0.004    0.000    1.566    0.036 <frozen importlib._bootstrap>:659(_load_unlocked)
    14328    0.004    0.000    0.004    0.000 {built-in method builtins.divmod}
     2541    0.004    0.000    0.006    0.000 inspect.py:2515(__init__)
   940/42    0.004    0.000    1.577    0.038 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
   1120/1    0.004    0.000  415.721  415.721 {built-in method builtins.exec}
     3706    0.004    0.000    0.004    0.000 {method 'acquire' of '_thread.RLock' objects}
     1553    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
 1962/561    0.003    0.000    0.004    0.000 sre_parse.py:174(getwidth)
    11461    0.003    0.000    0.005    0.000 sre_parse.py:164(__getitem__)
  859/824    0.003    0.000    0.024    0.000 inspect.py:2244(_signature_from_callable)
       34    0.003    0.000    0.003    0.000 {built-in method nt._getfinalpathname}
     2854    0.003    0.000    0.227    0.000 utils.py:341(disp_trim)
      777    0.003    0.000    0.218    0.000 <frozen importlib._bootstrap_external>:976(get_data)
     2419    0.003    0.000    0.096    0.000 re.py:289(_compile)
     1352    0.003    0.000    0.017    0.000 base.py:359(install_registry)
    11830    0.003    0.000    0.004    0.000 utils.py:407(sublist_iterator)
     1627    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:87(acquire)
     1627    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:112(release)
     1126    0.003    0.000    0.007    0.000 ntpath.py:77(join)
      920    0.003    0.000    0.004    0.000 inspect.py:2798(__init__)
     2204    0.003    0.000    0.003    0.000 {built-in method _thread.allocate_lock}
        4    0.003    0.001    0.004    0.001 codata.py:1498(parse_constants_2002to2014)
      614    0.003    0.000    0.005    0.000 ntpath.py:180(split)
      167    0.003    0.000    0.004    0.000 templates.py:1135(make_overload_attribute_template)
1865/1860    0.003    0.000    0.017    0.000 abstract.py:60(__call__)
13945/13929    0.003    0.000    0.021    0.000 {built-in method builtins.next}
