hi
         108580237 function calls (108559707 primitive calls) in 415.720 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       29    0.000    0.000    0.000    0.000 {built-in method _locale._getdefaultlocale}
        1    0.000    0.000    0.000    0.000 parfor_lowering_utils.py:1(<module>)
      468    0.000    0.000    0.000    0.000 pyparsing.py:2153(__str__)
        4    0.000    0.000    0.005    0.001 transforms.py:1(<module>)
       15    0.000    0.000    0.001    0.000 deprecation.py:436(make_keyword_only)
    64/56    0.000    0.000    0.001    0.000 contextlib.py:121(__exit__)
      295    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
       37    0.000    0.000    0.000    0.000 pyparsing.py:3339(parseImpl)
     1056    0.000    0.000    0.000    0.000 __init__.py:2107(__bool__)
       56    0.000    0.000    0.001    0.000 value.py:143(name)
        1    0.000    0.000    0.003    0.003 hashing.py:1(<module>)
        1    0.000    0.000    0.001    0.001 value.py:1(<module>)
        8    0.000    0.000    0.002    0.000 enum.py:392(_create_)
      120    0.000    0.000    0.000    0.000 pyparsing.py:2368(__init__)
        1    0.000    0.000    0.000    0.000 base.py:174(BaseContext)
       32    0.000    0.000    0.000    0.000 enum.py:478(_check_for_existing_members)
        1    0.000    0.000    0.000    0.000 rcsetup.py:1448(<dictcomp>)
        1    0.000    0.000    0.002    0.002 rrule.py:2(<module>)
        1    0.000    0.000    0.009    0.009 pyparsing.py:6398(pyparsing_common)
       28    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      117    0.000    0.000    0.000    0.000 sre_parse.py:1054(expand_template)
        7    0.000    0.000    0.000    0.000 utils.py:71(__call__)
    27/13    0.000    0.000    0.001    0.000 pyparsing.py:3547(parseImpl)
      310    0.000    0.000    0.000    0.000 rcsetup.py:979(_convert_validator_spec)
      151    0.000    0.000    0.000    0.000 pyparsing.py:363(__new__)
       48    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        1    0.000    0.000    0.001    0.001 blas.py:1(<module>)
    87/79    0.000    0.000    0.000    0.000 pyparsing.py:3576(__str__)
       24    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:52(add_newdoc_for_scalar_type)
        7    0.000    0.000    0.002    0.000 nonlin.py:1610(_nonlin_wrapper)
       49    0.000    0.000    0.000    0.000 pathlib.py:731(__str__)
        3    0.000    0.000    0.000    0.000 values.py:21(_escape_string)
       40    0.000    0.000    0.000    0.000 warnings.py:458(__enter__)
       19    0.000    0.000    0.000    0.000 path.py:98(__init__)
        1    0.000    0.000    0.002    0.002 distance.py:1(<module>)
       52    0.000    0.000    0.000    0.000 pyparsing.py:2826(__str__)
      6/2    0.000    0.000    0.042    0.021 pyplot.py:217(switch_backend)
      176    0.000    0.000    0.000    0.000 {built-in method numba.core.typeconv._typeconv.set_compatible}
      177    0.000    0.000    0.000    0.000 textwrap.py:477(prefixed_lines)
      105    0.000    0.000    0.000    0.000 six.py:177(_add_module)
        2    0.000    0.000    0.000    0.000 __init__.py:48(create_string_buffer)
        1    0.000    0.000    0.000    0.000 markers.py:147(MarkerStyle)
       18    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
      198    0.000    0.000    0.000    0.000 templates.py:987(__init__)
      102    0.000    0.000    0.000    0.000 types.py:171(__get__)
      159    0.000    0.000    0.000    0.000 ffi.py:137(argtypes)
      339    0.000    0.000    0.000    0.000 pyparsing.py:2159(streamline)
      245    0.000    0.000    0.000    0.000 templates.py:1245(Template)
      494    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       42    0.000    0.000    0.000    0.000 pyparsing.py:946(copy)
       83    0.000    0.000    0.000    0.000 _utils.py:24(deduplicate)
      150    0.000    0.000    0.000    0.000 linecache.py:147(lazycache)
        1    0.000    0.000    0.000    0.000 plyparser.py:86(template)
      446    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
      264    0.000    0.000    0.000    0.000 inspect.py:73(isclass)
      367    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       30    0.000    0.000    0.000    0.000 getlimits.py:41(<lambda>)
       41    0.000    0.000    0.000    0.000 rcsetup.py:61(<dictcomp>)
    24/12    0.000    0.000    0.001    0.000 pyparsing.py:4249(parseImpl)
       68    0.000    0.000    0.000    0.000 inspect.py:2599(__str__)
        1    0.000    0.000    0.005    0.005 pyparsing.py:5399(pyparsing_common)
        1    0.000    0.000    0.000    0.000 _polybase.py:18(ABCPolyBase)
        3    0.000    0.000    0.001    0.000 npydecl.py:194(install_operations)
        5    0.000    0.000    0.000    0.000 uuid.py:138(__init__)
        3    0.000    0.000    0.003    0.001 polynomial.py:1(<module>)
       62    0.000    0.000    0.000    0.000 ffi.py:240(close)
        1    0.000    0.000    0.003    0.003 unicode_support.py:1(<module>)
       31    0.000    0.000    0.001    0.000 _base.py:51(__init__)
        1    0.000    0.000    0.002    0.002 markers.py:4(<module>)
       14    0.000    0.000    0.001    0.000 __init__.py:194(warn_external)
       29    0.000    0.000    0.000    0.000 __init__.py:509(cast)
       32    0.000    0.000    0.000    0.000 functools.py:934(__init__)
       35    0.000    0.000    0.000    0.000 transforms.py:1299(__init_subclass__)
        3    0.000    0.000    0.000    0.000 std.py:229(__init__)
      102    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1095(__init__)
       30    0.000    0.000    0.000    0.000 npyimpl.py:504(register_binary_operator_kernel)
        7    0.000    0.000    0.001    0.000 _util.py:289(getfullargspec_no_self)
      170    0.000    0.000    0.000    0.000 pyparsing.py:3439(<genexpr>)
       39    0.000    0.000    0.005    0.000 decorators.py:253(njit)
      142    0.000    0.000    0.000    0.000 ffi.py:319(detach)
        1    0.000    0.000    0.000    0.000 interface.py:507(_CustomLinearOperator)
        1    0.000    0.000    0.000    0.000 ansi.py:2(<module>)
       16    0.000    0.000    0.012    0.001 rcsetup.py:795(cycler)
        4    0.000    0.000    0.047    0.012 context.py:1(<module>)
       48    0.000    0.000    0.000    0.000 pyparsing.py:3540(__init__)
       25    0.000    0.000    0.004    0.000 pyparsing.py:1250(setParseAction)
      103    0.000    0.000    0.000    0.000 value.py:81(__init__)
      155    0.000    0.000    0.000    0.000 ffi.py:302(__init__)
        7    0.000    0.000    0.000    0.000 utils.py:130(_get_indent)
      173    0.000    0.000    0.000    0.000 deprecation.py:121(deprecated)
        1    0.000    0.000    0.016    0.016 Image.py:27(<module>)
       37    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
      111    0.000    0.000    0.000    0.000 os.py:746(encodekey)
       44    0.000    0.000    0.000    0.000 functions.py:510(_store_object)
      774    0.000    0.000    0.000    0.000 inspect.py:2569(default)
      200    0.000    0.000    0.000    0.000 traceback.py:292(walk_stack)
        1    0.000    0.000    0.003    0.003 codegen.py:652(_optimize_functions)
       92    0.000    0.000    0.000    0.000 ffi.py:145(restype)
      121    0.000    0.000    0.000    0.000 pyparsing.py:1628(preParse)
       20    0.000    0.000    0.000    0.000 targetconfig.py:69(make_prop)
       83    0.000    0.000    0.000    0.000 pyparsing.py:2828(__init__)
      567    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.000    0.000 colors.py:103(<dictcomp>)
        1    0.000    0.000    0.022    0.022 _backend_tk.py:1(<module>)
        1    0.000    0.000    0.057    0.057 _basic.py:5(<module>)
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
       11    0.000    0.000    0.076    0.007 artist.py:1692(kwdoc)
      476    0.000    0.000    0.000    0.000 version.py:367(_parse_local_version)
        6    0.000    0.000    0.002    0.000 module.py:11(parse_assembly)
        1    0.000    0.000    0.000    0.000 mathimpl.py:1(<module>)
        6    0.000    0.000    0.000    0.000 enum.py:888(_decompose)
        1    0.000    0.000    0.010    0.010 numpy_support.py:1(<module>)
       26    0.000    0.000    0.004    0.000 pyparsing.py:1047(extract_stack)
      211    0.000    0.000    0.041    0.000 registry.py:38(target_context)
        1    0.000    0.000    0.001    0.001 _base.py:542(_AxesBase)
       34    0.000    0.000    0.001    0.000 pathlib.py:671(_parse_args)
        1    0.000    0.000    0.017    0.017 colors.py:1(<module>)
        1    0.000    0.000    0.010    0.010 patches.py:1(<module>)
        1    0.000    0.000    0.083    0.083 dispatcher.py:4(<module>)
        2    0.000    0.000    0.045    0.022 collections.py:1(<module>)
        1    0.000    0.000    0.008    0.008 typedlist.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method _pickle.load}
       16    0.000    0.000    0.000    0.000 functools.py:659(_c3_merge)
      208    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
        1    0.000    0.000    0.003    0.003 npyio.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numbers.py:294(Integral)
       18    0.000    0.000    0.000    0.000 templates.py:1286(__init__)
        1    0.000    0.000    0.000    0.000 gdb_hook.py:1(<module>)
        1    0.000    0.000    0.000    0.000 canonical_constraint.py:5(CanonicalConstraint)
     16/2    0.000    0.000    0.000    0.000 functools.py:686(_c3_mro)
       80    0.000    0.000    0.004    0.000 extending.py:394(intrinsic)
        2    0.000    0.000    0.215    0.108 dispatcher.py:929(compile)
        1    0.000    0.000    0.000    0.000 reduction.py:33(ForkingPickler)
      209    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
        2    0.000    0.000    0.004    0.002 module.py:1(<module>)
        1    0.000    0.000    0.000    0.000 setobj.py:1(<module>)
       91    0.000    0.000    0.000    0.000 values.py:232(_set_name)
        1    0.000    0.000    0.077    0.077 compiler.py:1(<module>)
      210    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
        1    0.000    0.000    0.003    0.003 arpack.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _color_data.py:1(<module>)
        1    0.000    0.000    0.074    0.074 _methods.py:161(_mean)
      207    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
        1    0.000    0.000    0.022    0.022 parfor_lowering.py:1(<module>)
       64    0.000    0.000    0.000    0.000 contextlib.py:242(helper)
        6    0.000    0.000    0.000    0.000 cgutils.py:56(create_struct_proxy)
       71    0.000    0.000    0.001    0.000 cp1252.py:22(decode)
        1    0.000    0.000    0.000    0.000 quoprimime.py:55(<listcomp>)
       48    0.000    0.000    0.001    0.000 pyparsing.py:1948(__or__)
        1    0.000    0.000    0.000    0.000 ir.py:366(Expr)
       44    0.000    0.000    0.000    0.000 extending.py:573(is_jitted)
       36    0.000    0.000    0.000    0.000 pyparsing.py:3781(__str__)
       44    0.000    0.000    0.000    0.000 templates.py:1187(wrapper)
      150    0.000    0.000    0.000    0.000 traceback.py:243(__init__)
        1    0.000    0.000    0.000    0.000 targets.py:1(<module>)
        1    0.000    0.000    0.000    0.000 typing_extensions.py:1(<module>)
        1    0.000    0.000    0.001    0.001 arrayprint.py:1(<module>)
      119    0.000    0.000    0.000    0.000 typeconv.py:63(set_unsafe_convert)
       46    0.000    0.000    0.007    0.000 __init__.py:1431(get_metadata_lines)
        1    0.000    0.000    0.153    0.153 __init__.py:3256(_initialize_master_working_set)
       24    0.000    0.000    0.000    0.000 functools.py:517(decorating_function)
      160    0.000    0.000    0.000    0.000 shape_base.py:608(_column_stack_dispatcher)
        1    0.000    0.000    0.002    0.002 executionengine.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:364(<dictcomp>)
       59    0.000    0.000    0.000    0.000 _collections_abc.py:764(__iter__)
        1    0.000    0.000    0.009    0.009 font_manager.py:1(<module>)
      139    0.000    0.000    0.000    0.000 pyparsing.py:2587(__eq__)
        1    0.000    0.000    0.000    0.000 {built-in method _cffi_backend._get_common_types}
       19    0.000    0.000    0.000    0.000 enum.py:846(__or__)
       91    0.000    0.000    0.000    0.000 _utils.py:16(register)
     24/4    0.000    0.000    0.001    0.000 pyparsing.py:4031(streamline)
       92    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 _internal.py:524(_Stream)
      167    0.000    0.000    0.000    0.000 target_extension.py:46(current_target)
       25    0.000    0.000    0.000    0.000 __init__.py:3167(_find_adapter)
       16    0.000    0.000    0.000    0.000 cycler.py:191(_from_iter)
       32    0.000    0.000    0.000    0.000 enum.py:58(__init__)
        1    0.000    0.000    0.000    0.000 table.py:30(Cell)
        1    0.000    0.000    0.037    0.037 text.py:1(<module>)
        1    0.000    0.000    0.004    0.004 tz.py:2(<module>)
       24    0.000    0.000    0.000    0.000 dviread.py:167(decorate)
       80    0.000    0.000    0.000    0.000 extending.py:366(__repr__)
       24    0.000    0.000    0.004    0.000 pyparsing.py:1291(extract_stack)
        1    0.000    0.000    0.003    0.003 hmac.py:1(<module>)
        3    0.000    0.000    0.000    0.000 six.py:866(wrapper)
      534    0.000    0.000    0.000    0.000 misc.py:112(key)
        1    0.000    0.000    0.000    0.000 debuginfo.py:78(DIBuilder)
      105    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
       72    0.000    0.000    0.000    0.000 pyparsing.py:1780(set)
       46    0.000    0.000    0.000    0.000 deprecation.py:208(_deprecated_property)
        1    0.000    0.000    0.055    0.055 orthogonal.py:1(<module>)
      266    0.000    0.000    0.000    0.000 pyparsing.py:3270(<genexpr>)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:1(<module>)
        8    0.000    0.000    0.000    0.000 values.py:600(__init__)
       82    0.000    0.000    0.000    0.000 pkgutil.py:406(get_importer)
        1    0.000    0.000    0.024    0.024 animation.py:19(<module>)
        3    0.000    0.000    0.002    0.001 patches.py:1916(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:4573(<listcomp>)
        7    0.000    0.000    0.000    0.000 extending.py:270(make_attribute_wrapper)
       40    0.000    0.000    0.000    0.000 warnings.py:477(__exit__)
      254    0.000    0.000    0.000    0.000 pyparsing.py:3882(<genexpr>)
        1    0.000    0.000    0.041    0.041 _axes.py:1(<module>)
       59    0.000    0.000    0.000    0.000 typing.py:690(__setattr__)
      106    0.000    0.000    0.000    0.000 manager.py:16(register)
       31    0.000    0.000    0.000    0.000 ffi.py:235(__init__)
        1    0.000    0.000    0.001    0.001 axes3d.py:40(Axes3D)
        1    0.000    0.000    0.002    0.002 array_analysis.py:6(<module>)
        1    0.000    0.000    0.037    0.037 _minimize.py:1(<module>)
      474    0.000    0.000    0.000    0.000 {built-in method time.perf_counter}
        3    0.000    0.000    0.085    0.028 registry.py:1(<module>)
       30    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.generic' objects}
        1    0.000    0.000    0.004    0.004 parallel.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
        1    0.000    0.000    0.007    0.007 shutil.py:1(<module>)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
    54/10    0.000    0.000    0.001    0.000 pyparsing.py:3762(streamline)
       29    0.000    0.000    0.000    0.000 pyparsing.py:2707(parseImpl)
       15    0.000    0.000    0.000    0.000 arrayprint.py:1493(_guarded_repr_or_str)
        1    0.000    0.000    0.000    0.000 npydecl.py:168(NumpyRulesArrayOperator)
       15    0.000    0.000    0.000    0.000 getlimits.py:382(__new__)
       51    0.000    0.000    0.000    0.000 rcsetup.py:431(validate_fontsize)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:145(ChunkStream)
       27    0.000    0.000    0.000    0.000 artist.py:20(allow_rasterization)
        1    0.000    0.000    0.002    0.002 untyped_passes.py:1(<module>)
        1    0.000    0.000    0.002    0.002 type_check.py:1(<module>)
        1    0.000    0.000    0.000    0.000 config.py:111(process_environ)
       44    0.000    0.000    0.001    0.000 dispatcher.py:104(__init__)
        1    0.000    0.000    0.000    0.000 radau.py:1(<module>)
       12    0.000    0.000    0.000    0.000 weakref.py:105(__init__)
        1    0.000    0.000    0.003    0.003 typed_passes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 numbers.py:519(_implement_integer_operators)
      212    0.000    0.000    0.000    0.000 transforms.py:1304(<genexpr>)
       43    0.000    0.000    0.001    0.000 module.py:233(_next)
        1    0.000    0.000    0.012    0.012 codegen.py:1(<module>)
        1    0.000    0.000    0.001    0.001 templates.py:1(<module>)
       93    0.000    0.000    0.000    0.000 pyparsing.py:304(__init__)
        1    0.000    0.000    0.000    0.000 quoprimime.py:5(<module>)
       40    0.000    0.000    0.000    0.000 pathlib.py:714(_format_parsed_parts)
        1    0.000    0.000    0.015    0.015 index_tricks.py:1(<module>)
      201    0.000    0.000    0.000    0.000 _internal.py:791(<genexpr>)
       12    0.000    0.000    0.022    0.002 artist.py:1308(__init__)
        1    0.000    0.000    0.002    0.002 ir.py:1(<module>)
       65    0.000    0.000    0.000    0.000 codecs.py:319(decode)
        1    0.000    0.000    0.011    0.011 typeof.py:1(<module>)
       35    0.000    0.000    0.000    0.000 pyparsing.py:2742(__str__)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        3    0.000    0.000    0.000    0.000 {method 'readline' of '_io.BufferedReader' objects}
      239    0.000    0.000    0.000    0.000 event.py:132(is_end)
       20    0.000    0.000    0.000    0.000 colors.py:1068(reversed)
       96    0.000    0.000    0.000    0.000 pyparsing.py:1351(preParse)
      167    0.000    0.000    0.000    0.000 target_extension.py:120(inherits_from)
        1    0.000    0.000    0.001    0.001 extras.py:1(<module>)
    64/56    0.000    0.000    0.004    0.000 contextlib.py:112(__enter__)
       40    0.000    0.000    0.000    0.000 sre_parse.py:258(getwhile)
       61    0.000    0.000    0.002    0.000 pyparsing.py:3292(<listcomp>)
        1    0.000    0.000    0.022    0.022 extending.py:1(<module>)
       42    0.000    0.000    0.000    0.000 __init__.py:214(_acquireLock)
       28    0.000    0.000    0.000    0.000 locale.py:624(getpreferredencoding)
       11    0.000    0.000    0.002    0.000 decorator.py:177(create)
        1    0.000    0.000    0.265    0.265 ffi.py:1(<module>)
        1    0.000    0.000    0.001    0.001 image.py:1(<module>)
        1    0.000    0.000    0.006    0.006 __init__.py:17(<module>)
        1    0.000    0.000    0.000    0.000 builder.py:189(IRBuilder)
        1    0.000    0.000    0.001    0.001 errors.py:1(<module>)
       34    0.000    0.000    0.000    0.000 numeric.py:148(ones)
        1    0.000    0.000    0.000    0.000 calendar.py:72(<listcomp>)
        1    0.000    0.000    0.000    0.000 tz.py:41(tzutc)
        1    0.000    0.000    0.006    0.006 PngImagePlugin.py:34(<module>)
       18    0.000    0.000    0.001    0.000 pyparsing.py:4779(parseImpl)
        1    0.000    0.000    0.000    0.000 _mathtext_data.py:1(<module>)
       35    0.000    0.000    0.165    0.005 <__array_function__ internals>:2(copyto)
        1    0.000    0.000    0.008    0.008 cgutils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 mathdecl.py:1(<module>)
       31    0.000    0.000    0.000    0.000 copyreg.py:103(_slotnames)
        1    0.000    0.000    0.000    0.000 typedlist.py:194(List)
      116    0.000    0.000    0.000    0.000 pyparsing.py:2545(__str__)
       58    0.000    0.000    0.000    0.000 imputils.py:42(_decorate_attr)
       26    0.000    0.000    0.000    0.000 core.py:6752(getdoc)
      262    0.000    0.000    0.000    0.000 six.py:88(__init__)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
       35    0.000    0.000    0.001    0.000 ntpath.py:524(abspath)
      160    0.000    0.000    0.000    0.000 shape_base.py:208(_arrays_for_stack_dispatcher)
        1    0.000    0.000    0.014    0.014 axes3d.py:1(<module>)
        8    0.000    0.000    0.000    0.000 deprecation.py:455(<listcomp>)
      169    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       28    0.000    0.000    0.000    0.000 scalars.py:32(__init__)
        1    0.000    0.000    0.093    0.093 figure.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _mathtext.py:1923(Parser)
      170    0.000    0.000    0.000    0.000 pyparsing.py:2061(setWhitespaceChars)
       32    0.000    0.000    0.000    0.000 fromnumeric.py:71(<dictcomp>)
        1    0.000    0.000    0.107    0.107 colorbar.py:1(<module>)
       26    0.000    0.000    0.000    0.000 pyparsing.py:663(__iadd__)
        1    0.000    0.000    0.004    0.004 pickle.py:1(<module>)
       30    0.000    0.000    0.000    0.000 numerictypes.py:359(issubdtype)
        1    0.000    0.000    0.000    0.000 patches.py:939(StepPatch)
        1    0.000    0.000    0.014    0.014 cparser.py:1(<module>)
       46    0.000    0.000    0.000    0.000 deprecation.py:230(finalize)
       14    0.000    0.000    0.001    0.000 core.py:116(doc_note)
        1    0.000    0.000    0.059    0.059 contour.py:1(<module>)
        1    0.000    0.000    0.018    0.018 cpu.py:1(<module>)
      132    0.000    0.000    0.000    0.000 enum.py:358(<genexpr>)
        1    0.000    0.000    0.000    0.000 datetime.py:1245(time)
       58    0.000    0.000    0.000    0.000 functools.py:839(register)
        1    0.000    0.000    0.000    0.000 argparse.py:154(HelpFormatter)
        1    0.000    0.000    0.001    0.001 passmanagers.py:1(<module>)
       37    0.000    0.000    0.000    0.000 pathlib.py:704(_from_parsed_parts)
        1    0.000    0.000    0.000    0.000 _string_helpers.py:9(<listcomp>)
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
       56    0.000    0.000    0.002    0.000 pyparsing.py:3901(<listcomp>)
        4    0.000    0.000    0.000    0.000 common.py:1(<module>)
        1    0.000    0.000    0.001    0.001 setdecl.py:1(<module>)
       17    0.000    0.000    0.000    0.000 threading.py:82(RLock)
        4    0.000    0.000    0.131    0.033 decorators.py:1(<module>)
        1    0.000    0.000    0.000    0.000 c_ast.py:311(Compound)
        1    0.000    0.000    0.000    0.000 misc.py:195(Object)
        1    0.000    0.000    0.000    0.000 tupleobj.py:1(<module>)
      212    0.000    0.000    0.000    0.000 transforms.py:1310(<genexpr>)
       21    0.000    0.000    0.000    0.000 warnings.py:181(_add_filter)
       14    0.000    0.000    0.000    0.000 deprecation.py:37(_generate_deprecation_warning)
        2    0.000    0.000    0.005    0.002 main.py:1(<module>)
      103    0.000    0.000    0.000    0.000 registry.py:9(wraps)
       13    0.000    0.000    0.000    0.000 builder.py:159(wrap)
        1    0.000    0.000    0.000    0.000 c_lexer.py:16(CLexer)
        1    0.000    0.000    0.005    0.005 codegen.py:1173(_init)
        1    0.000    0.000    0.006    0.006 containers.py:1(<module>)
        1    0.000    0.000    0.011    0.011 lines.py:1(<module>)
        1    0.000    0.000    0.000    0.000 nanfunctions.py:183(_divide_by_count)
       11    0.000    0.000    0.000    0.000 decorator.py:127(update)
        1    0.000    0.000    0.000    0.000 utils.py:246(_screen_shape_windows)
      117    0.000    0.000    0.000    0.000 re.py:331(filter)
      138    0.000    0.000    0.000    0.000 pyparsing.py:2450(setWhitespaceChars)
        2    0.000    0.000    0.008    0.004 pywintypes.py:3(__import_pywin32_system_module__)
        1    0.000    0.000    0.000    0.000 imputils.py:1(<module>)
        1    0.000    0.000    0.031    0.031 npyimpl.py:1(<module>)
       34    0.000    0.000    0.000    0.000 pathlib.py:145(splitroot)
        1    0.000    0.000    0.005    0.005 pathlib.py:1(<module>)
        1    0.000    0.000    0.004    0.004 ElementTree.py:1(<module>)
       15    0.000    0.000    0.004    0.000 __init__.py:2346(normalize_path)
        1    0.000    0.000    0.002    0.002 ufuncbuilder.py:3(<module>)
        3    0.000    0.000    0.000    0.000 fnmatch.py:80(translate)
       14    0.000    0.000    0.000    0.000 {built-in method _warnings.warn}
       61    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
    36/11    0.000    0.000    0.004    0.000 pyparsing.py:3743(leaveWhitespace)
        1    0.000    0.000    0.003    0.003 _ode.py:2(<module>)
        1    0.000    0.000    0.019    0.019 pythonapi.py:1(<module>)
       24    0.000    0.000    0.001    0.000 pathlib.py:1068(__new__)
        8    0.000    0.000    0.000    0.000 nonlin.py:216(_set_doc)
      249    0.000    0.000    0.000    0.000 abstract.py:114(__repr__)
        1    0.000    0.000    0.000    0.000 win32.py:4(<module>)
        1    0.000    0.000    0.000    0.000 core.py:2377(_MaskedPrintOption)
        4    0.000    0.000    0.000    0.000 codegen.py:1401(set_env)
        1    0.000    0.000    0.006    0.006 _internal.py:1(<module>)
      244    0.000    0.000    0.000    0.000 version.py:276(epoch)
        1    0.000    0.000    0.007    0.007 _base.py:1(<module>)
        1    0.000    0.000    0.001    0.001 arraydecl.py:1(<module>)
       87    0.000    0.000    0.000    0.000 inspect.py:1746(_signature_get_user_defined_method)
        1    0.000    0.000    0.000    0.000 process.py:10(<module>)
        1    0.000    0.000    0.006    0.006 iterative.py:1(<module>)
        1    0.000    0.000    0.000    0.000 containers.py:929(StructRefPayload)
       86    0.000    0.000    0.000    0.000 pyparsing.py:4091(<genexpr>)
        1    0.000    0.000    0.001    0.001 functions.py:1(<module>)
       16    0.000    0.000    0.000    0.000 _type_aliases.py:57(bitname)
        1    0.000    0.000    0.017    0.017 api.py:41(__init__)
        1    0.000    0.000    0.001    0.001 values.py:1(<module>)
       24    0.000    0.000    0.000    0.000 __init__.py:1977(find_distributions)
        1    0.000    0.000    0.000    0.000 cProfile.py:27(Profile)
       88    0.000    0.000    0.000    0.000 templates.py:1287(<genexpr>)
        1    0.000    0.000    0.001    0.001 caching.py:1(<module>)
       44    0.000    0.000    0.000    0.000 docstring.py:43(update)
        1    0.000    0.000    0.005    0.005 rangeobj.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _methods.py:1(<module>)
      114    0.000    0.000    0.000    0.000 os.py:740(check_str)
      255    0.000    0.000    0.000    0.000 rcsetup.py:56(func)
       44    0.000    0.000    0.000    0.000 core.py:132(get_object_signature)
        1    0.000    0.000    0.003    0.003 compressed.py:1(<module>)
       14    0.000    0.000    0.001    0.000 deprecation.py:65(warn_deprecated)
       26    0.000    0.000    0.000    0.000 pathlib.py:855(stem)
       44    0.000    0.000    0.000    0.000 target_extension.py:75(resolve_dispatcher_from_str)
       20    0.000    0.000    0.001    0.000 pyparsing.py:4686(parseImpl)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
       32    0.000    0.000    0.000    0.000 enum.py:153(<dictcomp>)
       21    0.000    0.000    0.000    0.000 pyparsing.py:3225(__str__)
        7    0.000    0.000    0.000    0.000 _parser.py:315(_convert)
       13    0.000    0.000    0.000    0.000 npydecl.py:412(_numpy_redirect)
    19/17    0.000    0.000    0.061    0.004 __init__.py:109(import_module)
       20    0.000    0.000    0.000    0.000 pyparsing.py:420(__setitem__)
       24    0.000    0.000    0.000    0.000 pyparsing.py:2813(parseImpl)
       51    0.000    0.000    0.000    0.000 values.py:239(_get_reference)
       17    0.000    0.000    0.001    0.000 deprecation.py:297(rename_parameter)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
        2    0.000    0.000    0.011    0.005 misc.py:1(<module>)
        3    0.000    0.000    0.000    0.000 ansi.py:26(__init__)
       28    0.000    0.000    0.000    0.000 scalars.py:18(parse_integer_bitwidth)
       13    0.000    0.000    0.000    0.000 sre_compile.py:416(_bytes_to_codes)
       42    0.000    0.000    0.000    0.000 pyparsing.py:1313(wrapper)
       89    0.000    0.000    0.000    0.000 overload_glue.py:72(wrap_typing)
        1    0.000    0.000    0.002    0.002 _pocketfft.py:1(<module>)
       16    0.000    0.000    0.000    0.000 cycler.py:55(_process_keys)
        1    0.000    0.000    0.022    0.022 minimize_trustregion_constr.py:1(<module>)
       90    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
       30    0.000    0.000    0.000    0.000 fromnumeric.py:2256(any)
        3    0.000    0.000    0.000    0.000 {function Random.seed at 0x0000024D43F85E50}
        1    0.000    0.000    0.006    0.006 ticker.py:1(<module>)
      244    0.000    0.000    0.000    0.000 version.py:288(post)
        1    0.000    0.000    0.000    0.000 typeinfer.py:1(<module>)
      159    0.000    0.000    0.000    0.000 textwrap.py:474(predicate)
       40    0.000    0.000    0.000    0.000 warnings.py:437(__init__)
